name,brand,price,description
['Infinix Hot 40i 8GB/128GB'],['Brand:                Infinix'],"['13,099৳']","['OS: XOS 13.0', 'Processor: Unisoc T606', 'CPU: Octa-core (2*A75 1.6GHz & 6*A55 1.6GHz)', 'GPU: Mali-G57', 'RAM: 8GB+ Up to 8GB Extended RAM', 'ROM: 128GB', 'Expandable Memory: Yes, microSD, Up to 1TB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Nano Sim+Micro Sd', 'Display Size: 90Hz 6.56” Punch-Hole Display with Magic Ring | Magic Ring Feature (access real-time information about charging status and voice calls with smart display dock)', 'Display Resolution: 720 x 1612 pixels (HD+) | Display Material: LCD | 480nits Peak Brightness', 'Rear Camera: 50MP + AI Cam\xa0with Quad Flashlight', 'Front Camera: 32MP with Front Dual Flash Light', 'Shooting Modes: Short Video, Video, Ai Cam, Beauty, Super Night, Portrait, Slow Motion, Time-Lapse, Ar Shot, Documents, Pro, Panorama, Ultra HD', 'Battery Capacity: 5000mAh | Type-C Charging Port | 18W Charging', 'Connectivity: Wi-Fi | Bluetooth | GPS | FM radio | 3.5mm Jack | OTG', 'Security: Side Fingerprint Sensor', 'Other Features: Glow Line Design | 200% Super Volume | Split Screen Multitasking | XBOOST Gaming Engine', 'Sensors: Light Sensor | Proximity Sensor | G-Sensor | E-Compass | Gyroscope']"
['Infinix Hot 40i 8GB/128GB'],['Brand:                Infinix'],"['13,099৳']","['OS: XOS 13.0', 'Processor: Unisoc T606', 'CPU: Octa-core (2*A75 1.6GHz & 6*A55 1.6GHz)', 'GPU: Mali-G57', 'RAM: 8GB+ Up to 8GB Extended RAM', 'ROM: 128GB', 'Expandable Memory: Yes, microSD, Up to 1TB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Nano Sim+Micro Sd', 'Display Size: 90Hz 6.56” Punch-Hole Display with Magic Ring | Magic Ring Feature (access real-time information about charging status and voice calls with smart display dock)', 'Display Resolution: 720 x 1612 pixels (HD+) | Display Material: LCD | 480nits Peak Brightness', 'Rear Camera: 50MP + AI Cam\xa0with Quad Flashlight', 'Front Camera: 32MP with Front Dual Flash Light', 'Shooting Modes: Short Video, Video, Ai Cam, Beauty, Super Night, Portrait, Slow Motion, Time-Lapse, Ar Shot, Documents, Pro, Panorama, Ultra HD', 'Battery Capacity: 5000mAh | Type-C Charging Port | 18W Charging', 'Connectivity: Wi-Fi | Bluetooth | GPS | FM radio | 3.5mm Jack | OTG', 'Security: Side Fingerprint Sensor', 'Other Features: Glow Line Design | 200% Super Volume | Split Screen Multitasking | XBOOST Gaming Engine', 'Sensors: Light Sensor | Proximity Sensor | G-Sensor | E-Compass | Gyroscope']"
['Infinix Hot 20 4GB/128GB'],['Brand:                Infinix'],"['11,599৳']","['OS: Android™ 12', 'CPU: MediaTek Helio G85', 'CPU Frequency: 2*2.0GHz+6*1.8GHz', 'RAM: 4GB (UP To 7GB)', 'ROM: 128GB', 'External Memory: Up To 1TB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Nano Sim+Micro Sd', 'Display Size: 6.82″ IPS Display | 90Hz Refresh Rate', 'Display Type: Punch-Hole Fluid Gaming Display', 'Display Resolution: 1640*720', 'Rear Camera: 50MP+AI Lens', 'Front Camera: 8MP', 'AF/FF: 8MP FF /50MP AF+AI Lens', 'Flash: Quad Rear Flash And Dual Front Flash', 'Video Feature: 1080P@30FPS', 'Battery Capacity: 5000mAh | 18W Fast Charge', 'Connectivity: WLAN: IEEE 802.11 a/ b/ g/ n/ ac | Bluetooth: Yes | GPS | FM radio | USB Type-C | 3.5 Jack | OTG', 'Sensors: Fingerprint (Side-Mounted) | G-Sensor | E-Compass | Light Sensor | Proximity Sensor | Soft-Gyroscope']"
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['13,099৳']",[nan]
['vivo Y27s 8GB/128GB'],['Brand:                vivo'],"['21,799৳']","['Operating System: Funtouch OS 13 based on Android 13', 'Processor: Qualcomm Snapdragon 680 (6nm)', 'CPU: 8-cores, 4 × 2.4 GHz + 4 × 1.9 GHz Clock Speed', 'RAM: 8GB LPDDR4X | Up to 8GB Extended Ram Capacity', 'ROM: 128GB UFS 2.2 | 1TB Expandable Storage', 'SIM: 2G/3G/4G', 'SIM: 2 nano SIMs + 1 microSD | (Dual SIM Dual Standby)', 'Screen: 6.64-inch 90Hz Sunlight Display | Capacitive Multi-touch Screen', 'Display Features: 2388×1080 (FHD+) | 650 nits Local Peak Brightness | Display Type: LCD', 'Rear Camera: 50MP+ 2MP', 'Camera Front: 8MP', 'Aperture: Front f/2.0 (8 MP), Rear f/1.8 (50 MP) + f/2.4 (2 MP)', 'Flash: Rear flash', 'Scene Modes: Night, Portrait, Photo, Video, 50 MP, Panorama, Documents, Slo-mo, Time-Lapse, Pro, Double Exposure, Live Photo', 'Battery: 5000 mAh (TYP) | 44W Fast Charging', 'Connectivity: Wi-Fi Support 2.4GHz/5GHz| Bluetooth 5.0 | Type-C | GPS | OTG | FM', 'Other Features: IP5X Dust & IPX4 Water Resistance | Atmospheric Portrait Photography | Portrait Bokeh', 'Sensors: Accelerometer | Ambient light sensor | Proximity Sensor | E-compass | Fingerprint: Side-mounted Fingerprint Scanning | Gyroscope sensor', 'Box Content: Device | USB Cable | Charger | Eject Tool | Phone Case | Protective Film (applied)']"
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['21,799৳']",[nan]
['vivo Y27s 8GB/128GB'],['Brand:                vivo'],"['21,799৳']","['Operating System: Funtouch OS 13 based on Android 13', 'Processor: Qualcomm Snapdragon 680 (6nm)', 'CPU: 8-cores, 4 × 2.4 GHz + 4 × 1.9 GHz Clock Speed', 'RAM: 8GB LPDDR4X | Up to 8GB Extended Ram Capacity', 'ROM: 128GB UFS 2.2 | 1TB Expandable Storage', 'SIM: 2G/3G/4G', 'SIM: 2 nano SIMs + 1 microSD | (Dual SIM Dual Standby)', 'Screen: 6.64-inch 90Hz Sunlight Display | Capacitive Multi-touch Screen', 'Display Features: 2388×1080 (FHD+) | 650 nits Local Peak Brightness | Display Type: LCD', 'Rear Camera: 50MP+ 2MP', 'Camera Front: 8MP', 'Aperture: Front f/2.0 (8 MP), Rear f/1.8 (50 MP) + f/2.4 (2 MP)', 'Flash: Rear flash', 'Scene Modes: Night, Portrait, Photo, Video, 50 MP, Panorama, Documents, Slo-mo, Time-Lapse, Pro, Double Exposure, Live Photo', 'Battery: 5000 mAh (TYP) | 44W Fast Charging', 'Connectivity: Wi-Fi Support 2.4GHz/5GHz| Bluetooth 5.0 | Type-C | GPS | OTG | FM', 'Other Features: IP5X Dust & IPX4 Water Resistance | Atmospheric Portrait Photography | Portrait Bokeh', 'Sensors: Accelerometer | Ambient light sensor | Proximity Sensor | E-compass | Fingerprint: Side-mounted Fingerprint Scanning | Gyroscope sensor', 'Box Content: Device | USB Cable | Charger | Eject Tool | Phone Case | Protective Film (applied)']"
['vivo Y27s 8GB/128GB'],['Brand:                vivo'],"['21,799৳']","['Operating System: Funtouch OS 13 based on Android 13', 'Processor: Qualcomm Snapdragon 680 (6nm)', 'CPU: 8-cores, 4 × 2.4 GHz + 4 × 1.9 GHz Clock Speed', 'RAM: 8GB LPDDR4X | Up to 8GB Extended Ram Capacity', 'ROM: 128GB UFS 2.2 | 1TB Expandable Storage', 'SIM: 2G/3G/4G', 'SIM: 2 nano SIMs + 1 microSD | (Dual SIM Dual Standby)', 'Screen: 6.64-inch 90Hz Sunlight Display | Capacitive Multi-touch Screen', 'Display Features: 2388×1080 (FHD+) | 650 nits Local Peak Brightness | Display Type: LCD', 'Rear Camera: 50MP+ 2MP', 'Camera Front: 8MP', 'Aperture: Front f/2.0 (8 MP), Rear f/1.8 (50 MP) + f/2.4 (2 MP)', 'Flash: Rear flash', 'Scene Modes: Night, Portrait, Photo, Video, 50 MP, Panorama, Documents, Slo-mo, Time-Lapse, Pro, Double Exposure, Live Photo', 'Battery: 5000 mAh (TYP) | 44W Fast Charging', 'Connectivity: Wi-Fi Support 2.4GHz/5GHz| Bluetooth 5.0 | Type-C | GPS | OTG | FM', 'Other Features: IP5X Dust & IPX4 Water Resistance | Atmospheric Portrait Photography | Portrait Bokeh', 'Sensors: Accelerometer | Ambient light sensor | Proximity Sensor | E-compass | Fingerprint: Side-mounted Fingerprint Scanning | Gyroscope sensor', 'Box Content: Device | USB Cable | Charger | Eject Tool | Phone Case | Protective Film (applied)']"
['vivo V27e 8GB/256GB'],['Brand:                vivo'],"['32,499৳']","['Operating System: Funtouch OS 13 (Global)', 'Processor: MediaTek Helio G99', 'RAM: 8GB', 'ROM: 256GB', 'SIM: 2G/3G/4G', 'SIM: 1 nano SIM + 1 nano SIM / 1 micro SD | (Dual SIM Standby)', 'Screen: 6.62 inch | Display Type: AMOLED | Refresh Rate: 120Hz (Only specific apps support 120Hz)', 'Resolution: 2400×1080 (FHD+) | Capacitive multi-touch', 'Rear Camera: 64MP OIS + 2MP Bokeh + 2MP Macro', 'Camera Front: 32MP AF', 'Aperture: Front f/2.0 (32MP), Rear f/1.79 (64MP) + f/2.4 (2MP) + f/2.4 (2MP)', 'Flash: Triple rear flash with single color temperature', 'Scene Modes: Night, Portrait, Photo, Video, 64MP, Panorama, Live Photo, Slow Motion, Time-Lapse, Pro, Documents, Double Exposure, Dual-View', 'Battery: 4500mAh | 66W (11V/6A) Fast Charging', 'Connectivity: Wi-Fi Support 2.4G/5G| Bluetooth 5.3 | USB Type-C, USB 2.0 | GPS | OTG | NFC', 'Sensors: Accelerometer | Ambient light sensor | Proximity Sensor | E-compass | Fingerprint: In-Display Fingerprint Scanning | Gyroscope sensor', 'Box Content: Device | Type-C to USB Cable | USB Power Adapter | Eject Tool | Phone Case | Protective Film (applied)']"
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['21,799৳']",[nan]
